,Id,protoform,DoT,DoS,DoF,class
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have f0env_sma-related features at low level.",0.0,0.056666666666666664,0.06169457678810478,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have f0env_sma-related features at medium level.",1.0,0.10666666666666667,0.06169457678810478,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have f0env_sma-related features at high level.",0.0,0.06666666666666667,0.06169457678810478,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have f0env_sma-related features at low level.",0.0,0.04,0.3559975610821061,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have f0env_sma-related features at medium level.",0.0,0.24,0.3559975610821061,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have f0env_sma-related features at high level.",1.0,0.3466666666666667,0.3559975610821061,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at low level.",0.0,0.9433333333333334,0.9545394463421637,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at medium level.",0.0,0.73,0.9545394463421637,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at high level.",0.0,0.7266666666666667,0.9545394463421637,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at low level.",0.0,0.94,0.039681434496051694,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at medium level.",0.0,0.7266666666666667,0.039681434496051694,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at high level.",1.0,0.7366666666666667,0.039681434496051694,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at low level.",0.0,0.0,0.002445785828451567,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at medium level.",0.0,0.0,0.002445785828451567,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at high level.",1.0,0.013333333333333334,0.002445785828451567,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at low level.",1.0,0.91,0.8997916740816171,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at medium level.",0.0,0.0,0.8997916740816171,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at high level.",0.0,0.8333333333333334,0.8997916740816171,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at low level.",1.0,0.9266666666666666,0.07956485628753794,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at medium level.",0.0,0.0,0.07956485628753794,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at high level.",0.0,0.86,0.07956485628753794,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at low level.",0.0,0.023333333333333334,0.017310136297511314,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at medium level.",0.0,0.0,0.017310136297511314,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at high level.",1.0,0.03333333333333333,0.017310136297511314,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at low level.",1.0,0.4166666666666667,0.4022363618648007,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at medium level.",0.0,0.16666666666666666,0.4022363618648007,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at high level.",0.0,0.04666666666666667,0.4022363618648007,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at low level.",0.0,0.05333333333333334,0.03354575037059798,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at medium level.",1.0,0.05,0.03354575037059798,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at high level.",0.0,0.016666666666666666,0.03354575037059798,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at low level.",0.0,0.09333333333333334,0.5608845544312678,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at medium level.",0.0,0.34,0.5608845544312678,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at high level.",1.0,0.56,0.5608845544312678,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at low level.",1.0,0.35333333333333333,0.3358852095031112,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at medium level.",0.0,0.10333333333333333,0.3358852095031112,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at high level.",0.0,0.0,0.3358852095031112,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at low level.",1.0,0.056666666666666664,0.02583159967310621,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at medium level.",1.0,0.056666666666666664,0.02583159967310621,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at high level.",0.0,0.0,0.02583159967310621,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at low level.",0.0,0.15333333333333332,0.6349498574904494,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at medium level.",0.0,0.4033333333333333,0.6349498574904494,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at high level.",0.791923843136856,0.49666666666666665,0.6349498574904494,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at low level.",1.0,0.3,0.2910737017527054,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at medium level.",0.0,0.05,0.2910737017527054,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at high level.",0.0,0.0,0.2910737017527054,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at low level.",1.0,0.03,0.013070914809237355,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at medium level.",0.0,0.02666666666666667,0.013070914809237355,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at high level.",0.0,0.0,0.013070914809237355,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at low level.",0.0,0.21,0.6925220501047239,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at medium level.",0.0,0.4533333333333333,0.6925220501047239,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at high level.",0.22749840838632857,0.5066666666666667,0.6925220501047239,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at low level.",1.0,0.20666666666666667,0.2033203098945021,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at medium level.",0.0,0.04,0.2033203098945021,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at high level.",0.0,0.043333333333333335,0.2033203098945021,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at low level.",1.0,0.03,0.016555573561073875,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at medium level.",0.0,0.013333333333333334,0.016555573561073875,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at high level.",0.0,0.013333333333333334,0.016555573561073875,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at low level.",0.0,0.38666666666666666,0.7767907832110907,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at medium level.",0.0,0.5133333333333333,0.7767907832110907,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at high level.",0.0,0.7366666666666667,0.7767907832110907,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at low level.",0.0,0.2733333333333333,0.7340384746857505,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at medium level.",0.0,0.5033333333333333,0.7340384746857505,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at high level.",0.5225017345675566,0.49666666666666665,0.7340384746857505,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at low level.",1.0,0.13333333333333333,0.06385802088731884,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at medium level.",0.0,0.07,0.06385802088731884,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at high level.",0.0,0.0,0.06385802088731884,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at low level.",1.0,0.22666666666666666,0.19877017109359738,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at medium level.",0.0,0.02,0.19877017109359738,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at high level.",0.0,0.0,0.19877017109359738,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at low level.",0.0,0.0,0.3067837742122028,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at medium level.",0.0,0.07,0.3067837742122028,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at high level.",1.0,0.31333333333333335,0.3067837742122028,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at low level.",0.0,0.0,0.01897218765679295,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at medium level.",0.0,0.043333333333333335,0.01897218765679295,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at high level.",1.0,0.043333333333333335,0.01897218765679295,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at low level.",0.8025235605249328,0.49666666666666665,0.670910704797671,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at medium level.",0.0,0.43333333333333335,0.670910704797671,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at high level.",0.0,0.18333333333333332,0.670910704797671,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at low level.",0.0,0.39666666666666667,0.3918292448863648,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at medium level.",0.0,0.0,0.3918292448863648,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at high level.",1.0,0.28,0.3918292448863648,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at low level.",0.0,0.04,0.026610645138386083,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at medium level.",0.0,0.0,0.026610645138386083,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at high level.",1.0,0.03,0.026610645138386083,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at low level.",0.0,0.52,0.5782267766419158,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at medium level.",0.0,0.0,0.5782267766419158,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at high level.",1.0,0.5466666666666666,0.5782267766419158,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at low level.",0.7514960592607103,0.5033333333333333,0.6461757583036266,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at medium level.",0.0,0.42333333333333334,0.6461757583036266,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at high level.",0.0,0.17666666666666667,0.6461757583036266,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at low level.",0.0,0.0033333333333333335,0.034646366375679506,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at medium level.",1.0,0.08666666666666667,0.034646366375679506,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at high level.",1.0,0.08333333333333333,0.034646366375679506,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at low level.",0.0,0.0,0.3125112086540271,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at medium level.",0.0,0.09,0.3125112086540271,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at high level.",1.0,0.32666666666666666,0.3125112086540271,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have f0final_sma-related features at low level.",0.0,0.52,0.5544368341335822,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have f0final_sma-related features at medium level.",0.0,0.38666666666666666,0.5544368341335822,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have f0final_sma-related features at high level.",0.0,0.4266666666666667,0.5544368341335822,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have f0final_sma-related features at low level.",0.0,0.016666666666666666,0.008103079823778085,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have f0final_sma-related features at medium level.",1.0,0.01,0.008103079823778085,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have f0final_sma-related features at high level.",0.0,0.01,0.008103079823778085,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have f0final_sma-related features at low level.",0.0,0.3433333333333333,0.43412675270930623,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have f0final_sma-related features at medium level.",0.0,0.23,0.43412675270930623,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have f0final_sma-related features at high level.",0.0,0.31,0.43412675270930623,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have voicingfinalunclipped_sma-related features at low level.",0.0,0.85,0.91,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have voicingfinalunclipped_sma-related features at medium level.",0.0,0.0,0.91,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have voicingfinalunclipped_sma-related features at high level.",1.0,0.7733333333333333,0.91,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have voicingfinalunclipped_sma-related features at low level.",0.0,0.0,0.0,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have voicingfinalunclipped_sma-related features at medium level.",0.0,0.0,0.0,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have voicingfinalunclipped_sma-related features at high level.",0.0,0.0,0.0,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have voicingfinalunclipped_sma-related features at low level.",0.0,0.03,0.08666666666666667,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have voicingfinalunclipped_sma-related features at medium level.",0.0,0.0,0.08666666666666667,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have voicingfinalunclipped_sma-related features at high level.",1.0,0.08333333333333333,0.08666666666666667,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have jitterlocal_sma-related features at low level.",0.0,0.83,0.854188079061758,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have jitterlocal_sma-related features at medium level.",0.0,0.0,0.854188079061758,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have jitterlocal_sma-related features at high level.",1.0,0.7733333333333333,0.854188079061758,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have jitterlocal_sma-related features at low level.",0.0,0.04666666666666667,0.027245955416861662,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have jitterlocal_sma-related features at medium level.",0.0,0.0,0.027245955416861662,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have jitterlocal_sma-related features at high level.",1.0,0.04666666666666667,0.027245955416861662,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have jitterlocal_sma-related features at low level.",0.0,0.12666666666666668,0.11523263218804701,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have jitterlocal_sma-related features at medium level.",0.0,0.0,0.11523263218804701,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have jitterlocal_sma-related features at high level.",0.4922623810965433,0.1,0.11523263218804701,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have jitterddp_sma-related features at low level.",0.0,0.8333333333333334,0.8763138100861867,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have jitterddp_sma-related features at medium level.",0.0,0.0,0.8763138100861867,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have jitterddp_sma-related features at high level.",1.0,0.78,0.8763138100861867,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have jitterddp_sma-related features at low level.",0.0,0.02666666666666667,0.013334533396029953,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have jitterddp_sma-related features at medium level.",0.0,0.0,0.013334533396029953,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have jitterddp_sma-related features at high level.",1.0,0.023333333333333334,0.013334533396029953,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have jitterddp_sma-related features at low level.",0.0,0.09333333333333334,0.10701832318444979,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have jitterddp_sma-related features at medium level.",0.0,0.0,0.10701832318444979,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have jitterddp_sma-related features at high level.",1.0,0.09666666666666666,0.10701832318444979,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have shimmerlocal_sma-related features at low level.",1.0,0.6466666666666666,0.6654933716915473,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have shimmerlocal_sma-related features at medium level.",0.0,0.0,0.6654933716915473,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have shimmerlocal_sma-related features at high level.",0.0,0.5366666666666666,0.6654933716915473,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have shimmerlocal_sma-related features at low level.",1.0,0.03666666666666667,0.025358004129472908,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have shimmerlocal_sma-related features at medium level.",0.0,0.0,0.025358004129472908,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have shimmerlocal_sma-related features at high level.",0.0,0.03,0.025358004129472908,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have shimmerlocal_sma-related features at low level.",0.8296724868253893,0.26,0.3058152908456464,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have shimmerlocal_sma-related features at medium level.",0.0,0.0,0.3058152908456464,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have shimmerlocal_sma-related features at high level.",0.0,0.29,0.3058152908456464,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have loghnr_sma-related features at low level.",0.0,0.19333333333333333,0.5466666666666666,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have loghnr_sma-related features at medium level.",0.0,0.33,0.5466666666666666,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have loghnr_sma-related features at high level.",0.9473664581806698,0.5366666666666666,0.5466666666666666,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have loghnr_sma-related features at low level.",0.0,0.0,0.0,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have loghnr_sma-related features at medium level.",0.0,0.0,0.0,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have loghnr_sma-related features at high level.",0.0,0.0,0.0,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have loghnr_sma-related features at low level.",1.0,0.44333333333333336,0.45,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have loghnr_sma-related features at medium level.",0.0,0.22,0.45,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have loghnr_sma-related features at high level.",0.0,0.13,0.45,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have audspec_lengthl1norm_sma-related features at low level.",0.0,0.5,0.6631689097646556,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have audspec_lengthl1norm_sma-related features at medium level.",0.0,0.41,0.6631689097646556,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have audspec_lengthl1norm_sma-related features at high level.",0.0,0.35,0.6631689097646556,0
